Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
IRF9	ISGF3G	ENSG00000213928	"Interferon regulatory factor 9"	Q00978	14	24161234-24168043	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Antiviral defense, Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA001862	Approved		Supported	Cytosol			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 47: Spleen - Immune response"	"Cluster 43: Hindbrain - Mixed function"	"Cluster 31: Non-specific - Antiviral immune response"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"	10	Cytosol		"HPA001862: AB_1079153"	"unprognostic (5.00e-2)"	"unprognostic (3.85e-2)"	"unprognostic (4.38e-1)"	"unprognostic (3.43e-1)"	"unprognostic (4.82e-1)"	"unprognostic (1.66e-1)"	"unprognostic (2.75e-1)"	"unprognostic (3.97e-2)"	"unprognostic (5.98e-2)"	"unprognostic (5.98e-2)"	"unprognostic (8.61e-7)"	"unprognostic (3.09e-3)"	"unprognostic (9.76e-2)"	"unprognostic (2.54e-1)"	"unprognostic (3.63e-3)"	"unprognostic (1.54e-1)"	"unprognostic (2.67e-2)"	"unprognostic (8.46e-2)"	"unprognostic (2.32e-1)"	"unprognostic (5.46e-2)"	"unprognostic (7.83e-5)"	"unprognostic (1.15e-3)"	"unprognostic (1.53e-3)"	"unprognostic (1.12e-1)"	"unprognostic (2.28e-2)"	"unprognostic (1.78e-1)"	"unprognostic (9.11e-3)"	"unprognostic (3.79e-1)"	"unprognostic (2.63e-1)"	"unprognostic (6.57e-4)"	"unprognostic (3.52e-2)"
IRX1	IRX-5	ENSG00000170549	"Iroquois homeobox 1"	P78414	5	3595832-3601403	"Plasma proteins, Predicted intracellular proteins, Transcription factors"		DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"breast: 15.7;kidney: 28.1;salivary gland: 17.3"	"Cell type enhanced"	"Detected in some"		"Breast glandular cells: 56.4;Breast myoepithelial cells: 92.3;Mucus glandular cells: 18.9;Salivary duct cells: 27.6"	"Group enriched"	"Detected in some"	5	"astrocyte: 14.2;bergmann glia: 43.3;ependymal cell: 16.9;lower rhombic lip: 30.8;oligodendrocyte precursor cell: 11.6"	"Group enriched"	"Detected in many"	5	"Breast Invasive Carcinoma (TCGA): 6.4;Glioblastoma Multiforme (TCGA): 8.8;Testicular Germ Cell Tumor (TCGA): 17.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Brain cancer: 5.1;Leukemia: 8.3"	"Pancreas - Alpha cells, Pituitary gland - Gonadotropes"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA043160	Uncertain		Approved	"Nucleoplasm,Golgi apparatus"			NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 17: Breast glandular cells - Lactation"		"Golgi apparatus"	Nucleoplasm	"HPA043160: AB_10794771"		"unprognostic (2.48e-2)"	"unprognostic (1.91e-1)"				"unprognostic (5.32e-3)"	"unprognostic (6.04e-3)"	"unprognostic (2.88e-1)"							"unprognostic (3.88e-3)"		"unprognostic (1.22e-3)"									"unprognostic (4.40e-3)"		"unprognostic (3.59e-2)"		
IRX2		ENSG00000170561	"Iroquois homeobox 2"	Q9BZI1	5	2745845-2751677	"Predicted intracellular proteins, Transcription factors"		DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"breast: 23.3;kidney: 20.9;salivary gland: 29.7;skin 1: 27.4"	"Group enriched"	"Detected in many"	4	"Alveolar cells type 1: 191.4;Alveolar cells type 2: 134.3;Basal keratinocytes: 130.8;Breast glandular cells: 150.2;Breast myoepithelial cells: 175.5;Mucus glandular cells: 64.6;Salivary duct cells: 114.5;Suprabasal keratinocytes: 80.6"	"Cell type enhanced"	"Detected in some"		"bergmann glia: 78.1;lower rhombic lip: 89.3"	"Cancer enhanced"	"Detected in many"		"Breast Invasive Carcinoma (TCGA): 21.2"	"Region enhanced"	"Detected in many"		"pons: 46.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 33.5"	"Pancreas - Alpha cells, Stomach - Chief cells, Testis - Spermatogonia"	"Group enriched"	"Detected in many"	5	"midbrain: 26.5;pons and medulla: 20.9;thalamus: 11.2"	"Region enhanced"	"Detected in many"		"pons: 8.0"	"HPA050895, HPA054669"	Approved		Approved	Nucleoplasm,Nucleoli			NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 17: Breast glandular cells - Lactation"	2	"Nucleoplasm, Nucleoli"		"HPA050895: AB_2616458, HPA054669: AB_2682566"	"unprognostic (2.17e-1)"	"unprognostic (8.85e-2)"	"unprognostic (3.16e-1)"	"unprognostic (2.87e-1)"	"unprognostic (3.41e-2)"	"unprognostic (2.77e-1)"			"unprognostic (2.07e-3)"							"unprognostic (3.92e-4)"	"unprognostic (1.09e-1)"	"unprognostic (2.71e-2)"	"unprognostic (4.05e-1)"			"unprognostic (1.69e-4)"		"unprognostic (1.01e-2)"	"unprognostic (1.60e-1)"	"unprognostic (9.39e-4)"	"unprognostic (7.92e-2)"	"unprognostic (1.45e-2)"	"unprognostic (2.66e-1)"	"unprognostic (5.71e-2)"	
IRX3	IRX-1	ENSG00000177508	"Iroquois homeobox 3"	P78415	16	54283304-54286787	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"skin 1: 86.6"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 141.1;Basal prostatic cells: 174.4;Breast glandular cells: 122.9;Breast myoepithelial cells: 81.0;Ciliated cells: 83.6;Glandular and luminal cells: 111.2;Squamous epithelial cells: 73.4"	"Cell type enhanced"	"Detected in some"		"astrocyte: 17.9;bergmann glia: 23.5;ependymal cell: 46.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 44.1"	"Kidney - Endothelial cells, Lung - Alveolar cells type 2, Prostate - Prostate basal glandular cells"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			HPA066576			Approved	Nucleoplasm,Cytosol			NA	NA				"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 44: Non-specific - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 72: Alveolar cells - Lung function"		Nucleoplasm	Cytosol	"HPA066576: "	"unprognostic (1.08e-1)"	"unprognostic (4.29e-2)"	"unprognostic (4.42e-2)"	"unprognostic (1.58e-1)"	"unprognostic (3.80e-2)"	"unprognostic (2.00e-1)"	"unprognostic (5.68e-2)"		"unprognostic (2.23e-1)"	"unprognostic (5.33e-1)"	"unprognostic (3.27e-2)"	"unprognostic (7.47e-2)"	"unprognostic (2.24e-4)"	"unprognostic (2.53e-2)"	"unprognostic (3.19e-1)"	"unprognostic (1.91e-3)"	"unprognostic (9.23e-2)"	"unprognostic (3.35e-2)"	"unprognostic (1.27e-1)"	"unprognostic (7.62e-2)"	"unprognostic (1.02e-1)"	"unprognostic (3.87e-1)"	"unprognostic (3.40e-2)"	"unprognostic (2.86e-1)"		"unprognostic (3.06e-2)"	"unprognostic (1.31e-1)"	"unprognostic (1.48e-2)"	"unprognostic (2.14e-1)"	"unprognostic (2.28e-2)"	"unprognostic (6.73e-2)"
IRX4		ENSG00000113430	"Iroquois homeobox 4"	P78413	5	1877413-1887236	"Plasma proteins, Predicted intracellular proteins, Transcription factors"		DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"esophagus: 15.4;heart muscle: 13.8;skin 1: 21.8;vagina: 11.8"	"Cell type enhanced"	"Detected in some"		"Basal keratinocytes: 38.1;Basal squamous epithelial cells: 48.1;Breast myoepithelial cells: 18.6;Salivary duct cells: 20.6;Squamous epithelial cells: 19.0;Suprabasal keratinocytes: 14.4"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	5	"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 6.6;Head and Neck Squamous Cell Carcinoma (TCGA): 9.1;Lung Squamous Cell Carcinoma (TCGA): 4.2;Prostate Adenocarcinoma (TCGA): 8.3;Testicular Germ Cell Tumor (TCGA): 8.4"	"Group enriched"	"Detected in some"	4	"cerebellum: 1.6;medulla oblongata: 1.8;midbrain: 1.6;pons: 2.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"cervical cancer: 10.6;Esophageal cancer: 7.0;head and neck cancer: 9.7"	"Minor Salivary Gland - Minor salivary gland basal cells, Prostate - Prostate glandular cells"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"medulla oblongata: 1.4;pons: 1.6"	HPA064094			Uncertain	Nucleoplasm,Vesicles			NA	NA				"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 12: Squamous epithelial cells - Keratinization"	3	"Nucleoplasm, Vesicles"		"HPA064094: "	"unprognostic (3.05e-3)"	"unprognostic (2.85e-2)"	"unprognostic (7.08e-2)"	"unprognostic (1.25e-1)"					"unprognostic (3.28e-1)"									"unprognostic (1.22e-1)"	"unprognostic (6.49e-2)"					"unprognostic (1.25e-1)"					"unprognostic (4.46e-1)"		
IRX5	IRX-2a	ENSG00000176842	"Iroquois homeobox 5"	P78411	16	54930865-54934485	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Sensory transduction, Transcription, Vision"	DNA-binding	"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"breast: 13.6;skin 1: 16.4"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 36.6;Breast glandular cells: 43.3;Breast myoepithelial cells: 64.1;Granulosa cells: 43.4;Muller glia cells: 32.0;Squamous epithelial cells: 31.5"	"Cell type enhanced"	"Detected in some"		"astrocyte: 9.4;bergmann glia: 26.8;ependymal cell: 13.7"	"Cancer enhanced"	"Detected in many"		"Breast Invasive Carcinoma (TCGA): 32.3"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	5	"breast cancer: 21.0"	"Lung - Alveolar cells type 2, Prostate - Prostate basal glandular cells, Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA047130			Approved	"Nuclear speckles,Microtubules,Cytosol"			No	NA				"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 44: Non-specific - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 17: Breast glandular cells - Lactation"		"Nuclear speckles"	"Microtubules, Cytosol"	"HPA047130: AB_10962983"	"unprognostic (1.89e-1)"	"unprognostic (1.70e-1)"	"unprognostic (3.88e-3)"	"unprognostic (1.81e-1)"		"unprognostic (8.10e-2)"	"unprognostic (3.18e-2)"		"unprognostic (1.60e-2)"		"unprognostic (4.69e-3)"	"unprognostic (1.43e-1)"	"unprognostic (5.09e-4)"			"unprognostic (3.90e-7)"	"unprognostic (1.84e-1)"	"unprognostic (4.67e-2)"	"unprognostic (1.76e-1)"	"unprognostic (1.05e-1)"	"unprognostic (8.76e-2)"	"unprognostic (4.62e-2)"	"unprognostic (9.82e-2)"	"unprognostic (1.69e-1)"		"unprognostic (1.39e-1)"	"unprognostic (1.48e-1)"	"unprognostic (2.16e-2)"	"unprognostic (1.48e-1)"		"unprognostic (1.51e-1)"
IRX6	"IRX-3, IRX7"	ENSG00000159387	"Iroquois homeobox 6"	P78412	16	55324203-55330756	"Predicted intracellular proteins, Transcription factors"		DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 9.4;heart muscle: 9.4;skin 1: 8.6"	"Cell type enhanced"	"Detected in some"		"Alveolar cells type 2: 6.5;Bipolar cells: 6.6;Collecting duct cells: 3.9;Granulosa cells: 3.7;Hofbauer cells: 3.5;Late spermatids: 5.7"	"Cell type enhanced"	"Detected in some"		"medium spiny neuron: 1.4"	"Cancer enhanced"	"Detected in many"		"Skin Cuteneous Melanoma (TCGA): 9.2"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Neuroblastoma: 3.2;skin cancer: 4.3;thyroid cancer: 5.1"	"Skin - Sebaceous gland cells, Testis - Late spermatids"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in many"			HPA018332	Uncertain		Approved	Nucleoplasm,Mitochondria			NA	NA				"Cluster 21: Testis - Unknown function"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 72: Alveolar cells - Lung function"	9	"Nucleoplasm, Mitochondria"		"HPA018332: AB_1851920"			"unprognostic (7.56e-3)"	"unprognostic (1.40e-2)"					"unprognostic (1.04e-1)"		"unprognostic (3.96e-3)"	"unprognostic (5.79e-2)"	"unprognostic (2.35e-2)"			"unprognostic (8.61e-4)"		"unprognostic (9.33e-2)"	"unprognostic (9.29e-2)"								"unprognostic (2.27e-3)"		"unprognostic (5.70e-2)"	"unprognostic (9.30e-2)"	
ISL1	"Isl-1, ISLET1"	ENSG00000016082	"ISL LIM homeobox 1"	P61371	5	51383448-51394730	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"retina: 22.2;seminal vesicle: 18.5;vagina: 15.3"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 170.4;Cytotrophoblasts: 33.3;Enteroendocrine cells: 40.8;Pancreatic endocrine cells: 103.6;Syncytiotrophoblasts: 29.3"	"Group enriched"	"Detected in some"	37	"medium spiny neuron: 20.2;splatter: 5.8"	"Cancer enhanced"	"Detected in some"		"Pancreatic Adenocarcinoma (TCGA): 5.8"	"Region enriched"	"Detected in many"	6	"hypothalamus: 24.2"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	7	"Neuroblastoma: 93.2"	"Adrenal gland - Adrenal medulla cells, Pancreas - Alpha cells, Pituitary gland - Thyrotropes, Testis - Spermatogonia"	"Group enriched"	"Detected in many"	8	"basal ganglia: 13.8;hypothalamus: 15.0;thalamus: 6.0"	"Group enriched"	"Detected in some"	9	"basal ganglia: 7.7;hypothalamus: 7.1"	"HPA048613, HPA057416"	Approved		Approved	"Nucleoplasm,Nuclear speckles,Mitochondria"			NA	NA				"Cluster 39: Retina & Testis - Cilium"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 25: Bipolar cells - Visual perception"	14	Nucleoplasm	"Nuclear speckles, Mitochondria"	"HPA048613: , HPA057416: AB_2683431"			"unprognostic (2.22e-1)"	"unprognostic (1.34e-2)"																		"unprognostic (8.77e-3)"	"unprognostic (7.63e-2)"	"unprognostic (1.73e-1)"		"unprognostic (4.65e-2)"		"unprognostic (9.78e-2)"	"unprognostic (1.54e-1)"		
ISL2	FLJ10160	ENSG00000159556	"ISL LIM homeobox 2"	Q96A47	15	76336773-76342475	"Predicted intracellular proteins, Transcription factors"		"Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"pituitary gland: 2.5;prostate: 2.2;vagina: 3.4"	"Cell type enriched"	"Detected in some"	8	"Cone photoreceptor cells: 35.7"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in some"			"Immune cell enhanced"	"Detected in some"		"neutrophil: 9.5"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Breast - Plasma cells, Pituitary gland - Thyrotropes"	"Not detected"	"Not detected"			"Region enriched"	"Detected in single"	10	"spinal cord: 2.4"	HPA075192			Approved	"Rods & Rings"			NA	NA			"Cluster 28: Neutrophils - Unknown function"	"Cluster 75: Epithelium - Extracellular exosomes"	"Cluster 11: White matter - Signal transduction"	"Cluster 1: Neuronal - Visual perception"	"Cluster 66: Photoreceptor cells - Visual perception"	15	"Rods & Rings"		"HPA075192: AB_2686738"			"unprognostic (3.73e-1)"	"unprognostic (1.42e-2)"			"unprognostic (1.63e-1)"																					"unprognostic (3.33e-1)"			
ISX	RAXLX	ENSG00000175329	"Intestine specific homeobox"	Q2M1V0	22	35066136-35087387	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	69	"intestine: 36.4"	"Group enriched"	"Detected in some"	33	"Distal enterocytes: 32.4;Enteroendocrine cells: 23.0;Intestinal goblet cells: 18.9;Paneth cells: 24.1;Proximal enterocytes: 29.4;Undifferentiated cells: 16.8"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Colon Adenocarcinoma (TCGA): 7.1;Rectum Adenocarcinoma (TCGA): 9.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"Bile duct cancer: 11.0;colorectal cancer: 4.8"	"Colon - Colon enterocytes, Kidney - Podocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA060328			Supported	"Nucleoplasm,Nuclear bodies"			NA	NA				"Cluster 45: Intestine - Digestion"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 16: Intestinal goblet cells - Mucin production"	12	Nucleoplasm	"Nuclear bodies"	"HPA060328: AB_2684254"					"unprognostic (2.04e-1)"	"unprognostic (1.03e-1)"								"unprognostic (1.18e-1)"	"unprognostic (1.65e-1)"									"unprognostic (1.96e-1)"	"unprognostic (6.55e-2)"	"unprognostic (3.12e-3)"		"unprognostic (2.01e-1)"			
JARID2	JMJ	ENSG00000008083	"Jumonji and AT-rich interaction domain containing 2"	Q92833	6	15246069-15522042	"Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Chromatin regulator, Developmental protein, Repressor"	"Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 57.1"	"Cell type enhanced"	"Detected in many"		"Langerhans cells: 252.2"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"Testicular Germ Cell Tumor (TCGA): 44.8"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"testis cancer: 71.9"	"Skin - Keratinocyte (other), Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA063889, CAB069890"	Approved		Supported	Nucleoplasm,Mitochondria			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 15: Non-specific - Transcription"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 29: Monocytes - Innate immune response"	14	"Nucleoplasm, Mitochondria"		"CAB069890: AB_10000529, HPA063889: AB_2685143"	"unprognostic (1.03e-1)"	"unprognostic (1.11e-2)"	"unprognostic (1.74e-3)"	"unprognostic (1.17e-1)"	"unprognostic (6.77e-2)"	"unprognostic (1.45e-1)"	"unprognostic (4.85e-2)"	"unprognostic (3.41e-3)"	"unprognostic (8.77e-2)"	"unprognostic (8.08e-3)"	"unprognostic (7.57e-3)"	"unprognostic (2.67e-3)"	"unprognostic (1.69e-1)"	"unprognostic (1.95e-3)"	"unprognostic (2.06e-1)"	"unprognostic (6.87e-2)"	"unprognostic (1.27e-1)"	"unprognostic (2.47e-1)"	"unprognostic (8.68e-4)"	"unprognostic (1.11e-1)"	"unprognostic (1.65e-1)"	"unprognostic (2.12e-1)"	"unprognostic (1.08e-1)"	"unprognostic (6.59e-2)"	"unprognostic (8.39e-3)"	"unprognostic (8.04e-2)"	"unprognostic (4.10e-3)"	"unprognostic (6.56e-2)"	"unprognostic (5.60e-2)"	"unprognostic (1.75e-3)"	"unprognostic (4.84e-2)"
JDP2	JUNDM2	ENSG00000140044	"Jun dimerization protein 2"	Q8WYK2	14	75427716-75474111	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Kupffer cells: 83.3;monocytes: 215.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Group enriched"	"Detected in many"	5	"B-cells: 11.9;granulocytes: 7.7;monocytes: 13.3"	"Low cancer specificity"	"Detected in all"			"Kidney - Fibroblasts, Prostate - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA059511	Supported		Approved	"Nucleoplasm,Nuclear speckles"			NA	NA			"Cluster 40: Monocytes - Innate immune response"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 53: Fibroblasts - ECM organization"	14	"Nucleoplasm, Nuclear speckles"		"HPA059511: AB_2684046"	"unprognostic (3.46e-3)"	"unprognostic (1.10e-1)"	"unprognostic (3.76e-2)"	"unprognostic (4.16e-3)"	"unprognostic (3.08e-2)"	"unprognostic (1.58e-1)"	"unprognostic (2.18e-2)"	"unprognostic (2.50e-1)"	"unprognostic (6.02e-2)"	"unprognostic (1.49e-1)"	"unprognostic (4.49e-6)"	"unprognostic (1.34e-3)"	"unprognostic (2.72e-1)"	"unprognostic (1.71e-2)"	"unprognostic (2.98e-5)"	"unprognostic (4.09e-1)"	"unprognostic (4.89e-2)"	"unprognostic (1.86e-1)"	"unprognostic (4.58e-2)"	"unprognostic (1.33e-2)"	"unprognostic (5.35e-2)"	"unprognostic (9.40e-2)"	"unprognostic (1.27e-3)"	"unprognostic (1.31e-1)"	"unprognostic (7.66e-2)"	"unprognostic (2.58e-1)"	"unprognostic (1.95e-2)"	"unprognostic (2.85e-1)"	"unprognostic (1.58e-1)"	"unprognostic (1.67e-1)"	"unprognostic (7.98e-4)"
