,Gene,Ensembl,Gene description,Protein class,Biological process,Molecular function,Subcellular location,Single cell expression cluster,Interactions
0,ZNF782,ENSG00000196597,Zinc finger protein 782,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Mitochondria']",Cluster 69: Neurons - Neuronal signaling,
0,ZNF521,ENSG00000198795,Zinc finger protein 521,"['Cancer-related genes', 'Disease related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Differentiation', 'Transcription', 'Transcription regulation']","['Activator', 'Developmental protein', 'DNA-binding', 'Repressor']",['Nucleoplasm'],Cluster 76: Oligodendrocyte precursor - Unknown function,5
0,ZMAT1,ENSG00000166432,Zinc finger matrin-type 1,['Predicted intracellular proteins'],,['DNA-binding'],['Nucleoplasm'],Cluster 47: Astrocytes - Unknown function,3
0,CSRNP3,ENSG00000178662,Cysteine and serine rich nuclear protein 3,"['Predicted intracellular proteins', 'Transcription factors']","['Apoptosis', 'Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']","['Nucleoplasm', 'Nucleoli rim']",Cluster 69: Neurons - Neuronal signaling,
0,ZFHX4,ENSG00000091656,Zinc finger homeobox 4,"['Disease related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['DNA-binding', 'Repressor']","['Nucleoplasm', 'Nucleoli fibrillar center']",Cluster 47: Astrocytes - Unknown function,4
0,GLI3,ENSG00000106571,GLI family zinc finger 3,"['Disease related genes', 'Human disease related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Activator', 'DNA-binding', 'Repressor']","['Nucleoplasm', 'Nucleoli', 'Vesicles']",Cluster 47: Astrocytes - Unknown function,17
0,HIVEP2,ENSG00000010818,HIVEP zinc finger 2,"['Disease related genes', 'Human disease related genes', 'Plasma proteins', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],['Nucleoplasm'],Cluster 34: Neurons - Neuronal signaling,11
0,PKNOX2,ENSG00000165495,PBX/knotted 1 homeobox 2,"['Predicted intracellular proteins', 'Transcription factors']",,['DNA-binding'],"['Nucleoplasm', 'Cytokinetic bridge']",Cluster 65: Neurons - Synaptic function,32
0,ZNF680,ENSG00000173041,Zinc finger protein 680,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],['Nucleoplasm'],Cluster 47: Astrocytes - Unknown function,
0,HMBOX1,ENSG00000147421,Homeobox containing 1,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Nuclear bodies', 'Cytosol']",Cluster 18: Early spermatids - Unknown function,84
0,ZNF609,ENSG00000180357,Zinc finger protein 609,['Predicted intracellular proteins'],"['Myogenesis', 'Transcription', 'Transcription regulation']","['Activator', 'Developmental protein']","['Nucleoplasm', 'Cytosol']",Cluster 51: Oligodendrocytes - Unknown function,17
0,TRERF1,ENSG00000124496,Transcriptional regulating factor 1,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']","['Nucleoplasm', 'Nucleoli fibrillar center', 'Cytosol']",Cluster 65: Neurons - Synaptic function,14
0,MTA3,ENSG00000057935,Metastasis associated 1 family member 3,"['Plasma proteins', 'Predicted intracellular proteins', 'Transcription factors']",,['DNA-binding'],"['Nucleoplasm', 'Vesicles']",Cluster 34: Neurons - Neuronal signaling,32
0,HIVEP3,ENSG00000127124,HIVEP zinc finger 3,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",,['Nucleoplasm'],Cluster 69: Neurons - Neuronal signaling,6
0,DMTF1,ENSG00000135164,Cyclin D binding myb like transcription factor 1,"['Predicted intracellular proteins', 'Transcription factors']","['Cell cycle', 'Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']",['Nucleoplasm'],Cluster 55: Non-specific - Transcription,1
0,ZXDC,ENSG00000070476,ZXD family zinc finger C,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['Activator'],['Nucleoli'],Cluster 49: Non-specific - Transcription,24
0,PURG,ENSG00000172733,Purine rich element binding protein G,"['Predicted intracellular proteins', 'Transcription factors']",,['DNA-binding'],"['Nucleoplasm', 'Nucleoli', 'Plasma membrane']",Cluster 47: Astrocytes - Unknown function,62
0,TFCP2,ENSG00000135457,Transcription factor CP2,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Cytosol']",Cluster 76: Oligodendrocyte precursor - Unknown function,68
0,HIF3A,ENSG00000124440,Hypoxia inducible factor 3 subunit alpha,"['Predicted intracellular proteins', 'Transcription factors']","['Angiogenesis', 'Apoptosis', 'Stress response', 'Transcription', 'Transcription regulation']","['Developmental protein', 'Repressor']","['Nucleoplasm', 'Plasma membrane', 'Cytosol']",Cluster 47: Astrocytes - Unknown function,3
0,PRDM16,ENSG00000142611,PR/SET domain 16,"['Cancer-related genes', 'Disease related genes', 'Enzymes', 'Human disease related genes', 'Potential drug targets', 'Predicted intracellular proteins', 'Transcription factors']","['Differentiation', 'Transcription', 'Transcription regulation']","['Activator', 'DNA-binding', 'Methyltransferase', 'Repressor', 'Transferase']",['Nucleoplasm'],Cluster 47: Astrocytes - Unknown function,8
0,ETV5,ENSG00000244405,ETS variant transcription factor 5,"['Cancer-related genes', 'Human disease related genes', 'Predicted intracellular proteins', 'Transcription factors']",,['DNA-binding'],['Nucleoplasm'],Cluster 34: Neurons - Neuronal signaling,3
0,FOXJ3,ENSG00000198815,Forkhead box J3,"['Predicted intracellular proteins', 'Transcription factors']","['Differentiation', 'Meiosis', 'Spermatogenesis', 'Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Nuclear speckles', 'Vesicles']",Cluster 55: Non-specific - Transcription,
0,ZNF280D,ENSG00000137871,Zinc finger protein 280D,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Golgi apparatus', 'Centrosome', 'Cytosol']",Cluster 76: Oligodendrocyte precursor - Unknown function,3
0,CUX2,ENSG00000111249,Cut like homeobox 2,"['Disease related genes', 'Human disease related genes', 'Plasma proteins', 'Predicted intracellular proteins', 'Predicted membrane proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],,Cluster 34: Neurons - Neuronal signaling,
0,ZNF608,ENSG00000168916,Zinc finger protein 608,['Predicted intracellular proteins'],"['Transcription', 'Transcription regulation']",['Repressor'],"['Nucleoplasm', 'Mitochondria']",Cluster 69: Neurons - Neuronal signaling,4
0,ZNF780B,ENSG00000128000,Zinc finger protein 780B,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Centrosome']",Cluster 69: Neurons - Neuronal signaling,
0,PRMT3,ENSG00000185238,Protein arginine methyltransferase 3,"['Enzymes', 'Predicted intracellular proteins']",,"['Methyltransferase', 'Transferase']",,Cluster 8: Neurons - Neuronal signaling,16
0,ZNF483,ENSG00000173258,Zinc finger protein 483,"['Cancer-related genes', 'Plasma proteins', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],['Nucleoli'],Cluster 71: Horizontal & Bipolar cells - Neuronal signaling,15
0,ZNF138,ENSG00000197008,Zinc finger protein 138,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['DNA-binding', 'Repressor']",,Cluster 69: Neurons - Neuronal signaling,17
0,DPF3,ENSG00000205683,Double PHD fingers 3,['Predicted intracellular proteins'],"['Myogenesis', 'Neurogenesis', 'Transcription', 'Transcription regulation']","['Activator', 'Chromatin regulator', 'Repressor']",['Nucleoplasm'],Cluster 76: Oligodendrocyte precursor - Unknown function,29
0,FOXG1,ENSG00000176165,Forkhead box G1,"['Disease related genes', 'Human disease related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Developmental protein', 'DNA-binding']",,Cluster 47: Astrocytes - Unknown function,6
0,RARB,ENSG00000077092,Retinoic acid receptor beta,"['Cancer-related genes', 'Disease related genes', 'FDA approved drug targets', 'Human disease related genes', 'Nuclear receptors', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['DNA-binding', 'Receptor']",['Nucleoplasm'],Cluster 69: Neurons - Neuronal signaling,9
0,GATAD2B,ENSG00000143614,GATA zinc finger domain containing 2B,"['Disease related genes', 'Human disease related genes', 'Plasma proteins', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['Repressor'],['Nucleoplasm'],Cluster 55: Non-specific - Transcription,96
0,NCOA2,ENSG00000140396,Nuclear receptor coactivator 2,"['Cancer-related genes', 'Disease related genes', 'Metabolic proteins', 'Predicted intracellular proteins', 'Transcription factors']","['Biological rhythms', 'Transcription', 'Transcription regulation']",['Activator'],"['Nucleoplasm', 'Nuclear bodies']",Cluster 8: Neurons - Neuronal signaling,39
0,IKZF2,ENSG00000030419,IKAROS family zinc finger 2,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']","['Nucleoplasm', 'Nuclear bodies', 'Cytosol']",Cluster 78: NK-cells & T-cells - Immune system & Transcription,7
0,E2F3,ENSG00000112242,E2F transcription factor 3,"['Cancer-related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Cell cycle', 'Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']",['Nucleoplasm'],Cluster 34: Neurons - Neuronal signaling,19
0,ZNF519,ENSG00000175322,Zinc finger protein 519,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],['Nucleoli'],Cluster 34: Neurons - Neuronal signaling,
0,ZNF718,ENSG00000250312,Zinc finger protein 718,['Predicted intracellular proteins'],"['Transcription', 'Transcription regulation']",['DNA-binding'],,Cluster 8: Neurons - Neuronal signaling,5
0,HIVEP1,ENSG00000095951,HIVEP zinc finger 1,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']","['Nucleoplasm', 'Nuclear bodies', 'Mitochondria', 'Cytosol']",Cluster 28: Dendritic cells - Antigen presentation,37
0,NR6A1,ENSG00000148200,Nuclear receptor subfamily 6 group A member 1,"['Nuclear receptors', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['DNA-binding', 'Receptor']","['Nucleoplasm', 'Centrosome', 'Cytosol']",Cluster 4: Extravillous trophoblasts - Unknown function,
0,HMG20A,ENSG00000140382,High mobility group 20A,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Chromatin regulator', 'DNA-binding']",['Nucleoplasm'],Cluster 49: Non-specific - Transcription,105
0,ZSCAN25,ENSG00000197037,Zinc finger and SCAN domain containing 25,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Nucleoli fibrillar center']",Cluster 76: Oligodendrocyte precursor - Unknown function,1
0,NFAT5,ENSG00000102908,Nuclear factor of activated T cells 5,"['Predicted intracellular proteins', 'Transcription factors']","['DNA damage', 'Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']","['Nucleoplasm', 'Cytosol']",Cluster 37: Glandular & Luminal cells - Unknown function,9
0,TET3,ENSG00000187605,Tet methylcytosine dioxygenase 3,"['Disease related genes', 'Enzymes', 'Potential drug targets', 'Predicted intracellular proteins']",,"['Chromatin regulator', 'Developmental protein', 'Dioxygenase', 'DNA-binding', 'Oxidoreductase']","['Nucleoplasm', 'Vesicles', 'Cytosol']",Cluster 37: Glandular & Luminal cells - Unknown function,3
0,ZNF10,ENSG00000256223,Zinc finger protein 10,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Vesicles', 'Plasma membrane']",Cluster 49: Non-specific - Transcription,5
0,BMAL1,ENSG00000133794,Basic helix-loop-helix ARNT like 1,"['Predicted intracellular proteins', 'Transcription factors']","['Biological rhythms', 'Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']","['Nucleoplasm', 'Vesicles']",Cluster 78: NK-cells & T-cells - Immune system & Transcription,20
0,ZNF365,ENSG00000138311,Zinc finger protein 365,['Predicted intracellular proteins'],['Neurogenesis'],,"['Vesicles', 'Centriolar satellite', 'Centrosome']",Cluster 34: Neurons - Neuronal signaling,3
0,MGA,ENSG00000174197,MAX dimerization protein MGA,"['Cancer-related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['DNA-binding', 'Repressor']","['Nucleoplasm', 'Cytosol']",Cluster 55: Non-specific - Transcription,28
0,ZNF493,ENSG00000196268,Zinc finger protein 493,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],,Cluster 55: Non-specific - Transcription,
0,SATB2,ENSG00000119042,SATB homeobox 2,"['Disease related genes', 'Human disease related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Chromatin regulator', 'Developmental protein', 'DNA-binding', 'Repressor']",['Nucleoplasm'],Cluster 34: Neurons - Neuronal signaling,20
0,ZNF251,ENSG00000198169,Zinc finger protein 251,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],['Nucleoplasm'],Cluster 69: Neurons - Neuronal signaling,3
0,LCORL,ENSG00000178177,Ligand dependent nuclear receptor corepressor like,['Predicted intracellular proteins'],"['Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']","['Nucleoplasm', 'Nuclear membrane']",Cluster 65: Neurons - Synaptic function,6
0,ETV1,ENSG00000006468,ETS variant transcription factor 1,"['Cancer-related genes', 'Disease related genes', 'Human disease related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']",['Nucleoplasm'],Cluster 75: Serous glandular cells - Salivary secretion,11
0,HDX,ENSG00000165259,Highly divergent homeobox,"['Predicted intracellular proteins', 'Transcription factors']",,['DNA-binding'],['Cytosol'],Cluster 65: Neurons - Synaptic function,12
0,PRDM5,ENSG00000138738,PR/SET domain 5,"['Disease related genes', 'Human disease related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Activator', 'Chromatin regulator', 'DNA-binding', 'Methyltransferase', 'Repressor', 'Transferase']","['Nucleoplasm', 'Nucleoli', 'Nuclear bodies']",Cluster 18: Early spermatids - Unknown function,3
0,ZZZ3,ENSG00000036549,Zinc finger ZZ-type containing 3,['Predicted intracellular proteins'],"['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Nucleoli', 'Nucleoli rim']",Cluster 51: Oligodendrocytes - Unknown function,24
0,BACH2,ENSG00000112182,BTB domain and CNC homolog 2,"['Disease related genes', 'Human disease related genes', 'Plasma proteins', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Activator', 'DNA-binding', 'Repressor']","['Nucleoplasm', 'Cytosol']",Cluster 73: B-cells - B-cell function,59
0,POU3F2,ENSG00000184486,POU class 3 homeobox 2,"['Predicted intracellular proteins', 'Transcription factors']","['Differentiation', 'Neurogenesis', 'Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']",['Nucleoplasm'],Cluster 47: Astrocytes - Unknown function,10
0,GLIS3,ENSG00000107249,GLIS family zinc finger 3,"['Disease related genes', 'Human disease related genes', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Activator', 'DNA-binding', 'Repressor']","['Nucleoplasm', 'Golgi apparatus', 'Primary cilium']",Cluster 47: Astrocytes - Unknown function,5
0,PHTF2,ENSG00000006576,Putative homeodomain transcription factor 2,"['Predicted membrane proteins', 'Transcription factors']",,,"['Nucleoplasm', 'Cytosol']",Cluster 78: NK-cells & T-cells - Immune system & Transcription,
0,ZNF516,ENSG00000101493,Zinc finger protein 516,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Cytosol']",Cluster 9: Endometrial stromal cells - Transcription,24
0,SREBF2,ENSG00000198911,Sterol regulatory element binding transcription factor 2,"['Plasma proteins', 'Predicted intracellular proteins', 'Predicted membrane proteins', 'Transcription factors']","['Cholesterol metabolism', 'Lipid metabolism', 'Steroid metabolism', 'Sterol metabolism', 'Transcription', 'Transcription regulation']","['Activator', 'DNA-binding']","['Nucleoplasm', 'Endoplasmic reticulum', 'Vesicles']",Cluster 62: Hepatocytes - Metabolism,34
0,RLF,ENSG00000117000,RLF zinc finger,"['Plasma proteins', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Nucleoli']",Cluster 80: Non-specific - Transcription,7
0,ZNF236,ENSG00000130856,Zinc finger protein 236,"['Plasma proteins', 'Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Cell Junctions', 'Cytosol']",Cluster 55: Non-specific - Transcription,1
0,RCOR3,ENSG00000117625,REST corepressor 3,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['Repressor'],"['Nucleoplasm', 'Cytosol']",Cluster 68: Cardiomyocytes - Muscle contraction,50
0,ZNF532,ENSG00000074657,Zinc finger protein 532,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],"['Nucleoplasm', 'Golgi apparatus']",Cluster 40: Prostatic glandular cells - Transcription,
0,ZNF529,ENSG00000186020,Zinc finger protein 529,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']",['DNA-binding'],['Nucleoplasm'],Cluster 55: Non-specific - Transcription,1
0,ZNF518A,ENSG00000177853,Zinc finger protein 518A,"['Predicted intracellular proteins', 'Transcription factors']","['Transcription', 'Transcription regulation']","['Chromatin regulator', 'DNA-binding']",['Nucleoplasm'],Cluster 67: Spermatogonia - Spermatogenesis,3
0,PSPC1,ENSG00000121390,Paraspeckle component 1,"['Predicted intracellular proteins', 'Transcription factors']","['Biological rhythms', 'Immunity', 'Innate immunity', 'Transcription', 'Transcription regulation']","['Activator', 'Repressor', 'RNA-binding']","['Nucleoplasm', 'Nucleoli fibrillar center']",Cluster 31: Spermatocytes - Spermatogenesis,327
