Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
CYP4Z1	CYP4A20	ENSG00000186160	"Cytochrome P450 family 4 subfamily Z member 1"	Q86W10	1	47067231-47118318	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	"Monooxygenase, Oxidoreductase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"breast: 6.1"	"Group enriched"	"Detected in some"	4	"Breast glandular cells: 5.9;Early spermatids: 2.1;Excitatory neurons: 8.0;Inhibitory neurons: 5.5"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in single"	66	"Breast Invasive Carcinoma (TCGA): 57.9"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	12	"breast cancer: 2.1;lymphoma: 3.7"	"Liver - Hepatocytes"																NA	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 50: Lymphoma - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"						"unprognostic (4.33e-2)"	"unprognostic (4.33e-1)"																												
DACH1	DACH	ENSG00000276644	"Dachshund family transcription factor 1"	Q9UI36	13	71437966-71867204	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"retina: 20.2"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 86.2;Excitatory neurons: 74.1;Late spermatids: 99.2;Microglial cells: 136.9;Muller glia cells: 122.1"	"Cell type enhanced"	"Detected in all"		"endothelial cell: 827.9;medium spiny neuron: 810.4;pericyte: 1190.8"	"Cancer enhanced"	"Detected in many"		"Rectum Adenocarcinoma (TCGA): 12.9"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	13	"basophil: 6.0;eosinophil: 11.3;NK-cell: 5.7;plasmacytoid DC: 9.3"	"Group enriched"	"Detected in many"	29	"dendritic cells: 9.3;granulocytes: 11.3;NK-cells: 5.7"	"Cancer enhanced"	"Detected in many"		"colorectal cancer: 10.4"	"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Adrenal gland - Adrenal cortex cells, Liver - Hepatic stellate cells, Pituitary gland - Thyrotropes, Skin - Outer root sheath cells, Spleen - Endothelial cells, Testis - Early spermatids"	"Region enriched"	"Detected in all"	5	"basal ganglia: 38.8"	"Region enriched"	"Detected in all"	6	"basal ganglia: 45.2"	"HPA012672, HPA012938, HPA073222"	Approved		Supported	"Nucleoplasm,Nuclear speckles"			NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 39: Retina & Testis - Cilium"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 40: Non-specific - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	10	"Nucleoplasm, Nuclear speckles"		"HPA012672: AB_1847466, HPA012938: , HPA073222: "		"unprognostic (2.30e-1)"	"unprognostic (4.50e-2)"	"unprognostic (1.10e-1)"	"unprognostic (2.55e-1)"	"unprognostic (3.25e-2)"	"unprognostic (3.45e-2)"			"unprognostic (2.56e-1)"	"unprognostic (4.18e-4)"	"unprognostic (6.01e-4)"	"unprognostic (1.02e-1)"				"unprognostic (1.96e-1)"	"unprognostic (1.56e-1)"	"unprognostic (9.01e-3)"	"unprognostic (1.32e-1)"		"unprognostic (2.05e-3)"		"unprognostic (3.38e-1)"	"unprognostic (2.22e-1)"	"unprognostic (5.38e-3)"		"unprognostic (1.02e-1)"	"unprognostic (1.27e-1)"		"unprognostic (4.45e-3)"
DCHS2	"CDH27, CDHJ, CDHR7, FLJ20047, PCDH23, PCDHJ"	ENSG00000197410	"Dachsous cadherin-related 2"	Q6V1P9	4	154231742-154491799	"Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 2.2;intestine: 1.7"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 59.8;Early spermatids: 17.6;Excitatory neurons: 29.2;Inhibitory neurons: 12.6;Late spermatids: 21.9;Microglial cells: 12.5"	"Cell type enhanced"	"Detected in all"		"deep-layer corticothalamic and 6b: 181.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			HPA064159	Uncertain		Approved	"Vesicles,Plasma membrane"			NA	NA				"Cluster 64: Neuronal - Transcription"	"Cluster 14: Neurons - Synaptic function"	"Cluster 40: Non-specific - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"		"Vesicles, Plasma membrane"		"HPA064159: AB_2685201"			"unprognostic (2.47e-1)"					"unprognostic (3.81e-2)"															"unprognostic (1.04e-3)"								
DCLK1	"DCAMKL1, DCDC3A, DCLK, KIAA0369"	ENSG00000133083	"Doublecortin like kinase 1"	O15075	13	35768652-36131382	"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Differentiation, Neurogenesis"	"Developmental protein, Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 96.4"	"Group enriched"	"Detected in many"	6	"Excitatory neurons: 936.9;Inhibitory neurons: 637.4"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Glioblastoma Multiforme (TCGA): 20.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	5	"Rhabdoid: 104.6"	"Breast - Fibroblasts, Heart muscle - Fibroblasts, Lung - Fibroblast_2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB012405, HPA015040, HPA015655"	Enhanced		Approved	Nucleoplasm,Cytosol			NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 14: Neurons - Synaptic function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	2	Nucleoplasm	Cytosol	"CAB012405: , HPA015040: AB_2669141, HPA015655: AB_2669265"		"unprognostic (1.16e-1)"	"unprognostic (2.43e-1)"			"unprognostic (1.22e-1)"	"unprognostic (9.27e-2)"	"unprognostic (1.37e-1)"	"unprognostic (1.58e-1)"	"unprognostic (2.27e-3)"	"unprognostic (7.51e-3)"	"unprognostic (3.82e-1)"	"unprognostic (7.38e-2)"			"unprognostic (4.68e-2)"	"unprognostic (1.72e-1)"	"unprognostic (1.21e-1)"	"unprognostic (2.86e-1)"			"unprognostic (7.04e-2)"	"unprognostic (5.28e-2)"	"unprognostic (1.57e-1)"		"unprognostic (6.95e-2)"	"unprognostic (1.77e-1)"	"unprognostic (5.07e-3)"	"unprognostic (1.26e-1)"	"unprognostic (1.76e-1)"	"unprognostic (2.01e-1)"
DDAH1	DDAH	ENSG00000153904	"Dimethylarginine dimethylaminohydrolase 1"	O94760	1	85318481-85578363	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"kidney: 120.4"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 150.7;Astrocytes: 345.6;Excitatory neurons: 190.9;Oligodendrocyte precursor cells: 171.2;Proximal tubular cells: 255.9"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Spleen - Fibroblast_1, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA006308, HPA071064"	Enhanced		Approved	"Nucleoli,Plasma membrane,Cytosol"			NA	NA		330000		"Cluster 52: Kidney - Transmembrane transport"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 34: Neurons - Neuronal signaling"	2	"Plasma membrane, Cytosol"	Nucleoli	"HPA006308: AB_1847532, HPA071064: "	"unprognostic (1.43e-2)"	"unprognostic (8.89e-2)"	"unprognostic (2.50e-1)"	"unprognostic (1.75e-1)"	"unprognostic (3.51e-4)"	"unprognostic (3.01e-1)"	"unprognostic (2.21e-2)"	"unprognostic (4.84e-1)"	"unprognostic (1.54e-2)"	"unprognostic (4.26e-2)"	"unprognostic (9.55e-15)"	"unprognostic (1.29e-4)"	"unprognostic (6.33e-2)"	"unprognostic (9.75e-2)"	"unprognostic (1.94e-1)"	"unprognostic (1.21e-1)"	"unprognostic (3.02e-2)"	"unprognostic (8.05e-2)"	"unprognostic (1.81e-2)"	"unprognostic (1.55e-1)"	"unprognostic (2.77e-2)"	"unprognostic (9.75e-2)"	"unprognostic (3.70e-5)"	"unprognostic (1.01e-1)"	"unprognostic (4.75e-1)"	"unprognostic (6.78e-2)"	"unprognostic (4.46e-2)"	"unprognostic (3.70e-2)"	"unprognostic (2.00e-1)"	"unprognostic (2.28e-1)"	"unprognostic (2.53e-1)"
DDN	KIAA0749	ENSG00000181418	Dendrin	O94850	12	48995149-48999375	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	14	"brain: 240.7;skeletal muscle: 286.7"	"Group enriched"	"Detected in some"	4	"Collecting duct cells: 5.8;Excitatory neurons: 5.7;Inhibitory neurons: 2.4"	"Cell type enhanced"	"Detected in many"		"eccentric medium spiny neuron: 27.2"	"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 2.8;Head and Neck Squamous Cell Carcinoma (TCGA): 3.2"	"Group enriched"	"Detected in all"	7	"amygdala: 357.7;basal ganglia: 287.4;cerebral cortex: 408.4;hippocampal formation: 307.9;white matter: 160.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Myeloma: 11.7"	"Kidney - Podocytes, Pituitary gland - Gonadotropes, Spleen - Mitotic cells (Spleen)"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	14	"amygdala: 215.8;basal ganglia: 277.5;cerebral cortex: 232.8;hippocampal formation: 223.4;olfactory bulb: 82.8"	HPA060952	Uncertain		Supported	Nucleoplasm,Cytosol			NA	NA				"Cluster 54: Non-specific - Basic cellular processes"	"Cluster 51: Neurons - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 34: Neurons - Neuronal signaling"	3	Nucleoplasm	Cytosol	"HPA060952: AB_2684396"			"unprognostic (2.10e-1)"		"unprognostic (3.72e-1)"	"unprognostic (5.00e-3)"	"unprognostic (2.02e-1)"	"unprognostic (5.18e-2)"	"unprognostic (3.61e-3)"																"unprognostic (5.99e-3)"	"unprognostic (5.61e-2)"					
DGKB	"DAGK2, DGK, DGK-BETA, KIAA0718"	ENSG00000136267	"Diacylglycerol kinase beta"	Q9Y6T7	7	14145049-14974777	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Lipid metabolism"	"Kinase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"brain: 19.7"	"Group enriched"	"Detected in some"	8	"Excitatory neurons: 907.4;Inhibitory neurons: 551.1;Oligodendrocyte precursor cells: 238.7"	"Cell type enhanced"	"Detected in all"		"mammillary body: 4039.7;medium spiny neuron: 3076.0"	"Cancer enriched"	"Detected in single"	11	"Glioblastoma Multiforme (TCGA): 3.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"lung cancer: 1.8;Neuroblastoma: 4.0;Rhabdoid: 4.8"	"Pancreas - Beta cells, Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in all"			"Region enhanced"	"Detected in all"		"basal ganglia: 252.7"	"HPA020321, HPA055763"		Supported	Approved	"Nucleoplasm,Nuclear speckles,Plasma membrane"			NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 33: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 34: Neurons - Neuronal signaling"		"Plasma membrane"	"Nucleoplasm, Nuclear speckles"	"HPA020321: , HPA055763: "			"unprognostic (4.34e-2)"				"unprognostic (3.53e-2)"	"unprognostic (5.55e-2)"																							
DGKG	DAGK3	ENSG00000058866	"Diacylglycerol kinase gamma"	P49619	3	186105668-186362234	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Lipid metabolism"	"Kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 26.7"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 211.5;Excitatory neurons: 107.0;Inhibitory neurons: 60.6;Oligodendrocyte precursor cells: 314.1"	"Cell type enhanced"	"Detected in all"		"bergmann glia: 1684.0"	"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 6.7"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	6	"classical monocyte: 2.1;eosinophil: 1.2;intermediate monocyte: 1.2;myeloid DC: 1.5;neutrophil: 2.6;non-classical monocyte: 1.5"	"Group enriched"	"Detected in many"	7	"dendritic cells: 1.5;granulocytes: 2.6;monocytes: 2.1"	"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Pituitary gland - Corticotropes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA036577	Approved		Approved	"Vesicles,Plasma membrane"			NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 65: Cerebellum - Nervous system development"	"Cluster 37: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 34: Neurons - Neuronal signaling"		"Vesicles, Plasma membrane"		"HPA036577: AB_10672358"			"unprognostic (1.33e-1)"				"unprognostic (2.02e-1)"	"unprognostic (2.61e-1)"				"unprognostic (9.41e-2)"					"unprognostic (3.65e-1)"	"unprognostic (3.73e-1)"	"unprognostic (4.64e-2)"	"unprognostic (1.60e-1)"			"unprognostic (1.15e-2)"				"unprognostic (3.14e-1)"	"unprognostic (9.22e-3)"			
DGKI	DGK-IOTA	ENSG00000157680	"Diacylglycerol kinase iota"	O75912	7	137381037-137847092	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism"	"Kinase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"choroid plexus: 11.9;retina: 6.6;thyroid gland: 15.4"	"Group enriched"	"Detected in some"	5	"Excitatory neurons: 585.6;Inhibitory neurons: 397.3;Oligodendrocyte precursor cells: 308.9"	"Low cell type specificity"	"Detected in all"			"Group enriched"	"Detected in some"	4	"Kidney Chromophobe (TCGA): 8.0;Thyroid Carcinoma (TCGA): 2.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"thyroid cancer: 9.5"	"Minor Salivary Gland - Minor salivary gland ductal cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 33: Neurons - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 34: Neurons - Neuronal signaling"	1						"unprognostic (1.39e-1)"				"unprognostic (2.73e-1)"	"unprognostic (1.49e-4)"		"unprognostic (1.47e-1)"		"unprognostic (3.60e-2)"											"unprognostic (3.57e-1)"							"unprognostic (6.56e-3)"	
DIAPH2	"DIA, DIA2, POF, POF2"	ENSG00000147202	"Diaphanous related formin 2"	O60879	X	96684712-97604997	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Differentiation, Oogenesis"	"Developmental protein"	"Premature ovarian failure"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 165.5;Late spermatids: 181.7;Microglial cells: 288.1;Oligodendrocyte precursor cells: 263.7"	"Cell type enhanced"	"Detected in all"		"central nervous system macrophage: 1427.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Breast - Endothelial cells, Lung - Fibroblast_1, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA005647, CAB015461, CAB068183, CAB068184"	Enhanced		Supported	"Nucleoli,Endoplasmic reticulum,Vesicles"			NA	NA			"Cluster 25: Non-specific - Unknown function"	"Cluster 56: Non-specific - Unknown function"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 36: Non-specific - mRNA processing"	"Cluster 34: Neurons - Neuronal signaling"	8	"Endoplasmic reticulum, Vesicles"	Nucleoli	"CAB015461: AB_831223, CAB068183: AB_2665693, CAB068184: AB_2665694, HPA005647: AB_1078657"	"unprognostic (1.52e-1)"	"unprognostic (1.20e-1)"	"unprognostic (9.16e-2)"	"unprognostic (7.74e-4)"	"unprognostic (1.75e-1)"	"unprognostic (1.96e-1)"	"unprognostic (1.64e-1)"	"unprognostic (6.43e-2)"	"unprognostic (1.19e-2)"	"unprognostic (1.11e-1)"	"unprognostic (1.16e-4)"	"unprognostic (1.36e-2)"	"unprognostic (1.59e-2)"	"unprognostic (2.86e-1)"	"unprognostic (1.09e-1)"	"unprognostic (1.01e-1)"	"unprognostic (1.19e-1)"	"unprognostic (3.44e-2)"	"unprognostic (2.89e-1)"	"unprognostic (1.79e-1)"	"unprognostic (6.23e-2)"	"unprognostic (4.32e-3)"	"unprognostic (1.94e-1)"	"unprognostic (3.55e-2)"	"unprognostic (1.15e-2)"	"unprognostic (1.50e-1)"	"unprognostic (2.57e-1)"	"unprognostic (4.74e-2)"	"unprognostic (3.61e-2)"	"unprognostic (3.40e-4)"	"unprognostic (6.94e-2)"
DIRAS2	"Di-Ras2, DKFZp761C07121"	ENSG00000165023	"DIRAS family GTPase 2"	Q96HU8	9	90609832-90642862	"Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	10	"brain: 149.6;retina: 38.3"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 83.5;Excitatory neurons: 99.3;Horizontal cells: 53.5;Inhibitory neurons: 20.8;Oligodendrocyte precursor cells: 20.3;Oligodendrocytes: 24.0"	"Cell type enhanced"	"Detected in all"		"deep-layer corticothalamic and 6b: 265.0;deep-layer near-projecting: 412.1"	"Cancer enhanced"	"Detected in many"		"Kidney Renal Clear Cell Carcinoma (TCGA): 11.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"cervical cancer: 10.8;Rhabdoid: 8.5"	"Adrenal gland - Adrenal medulla cells, Minor Salivary Gland - Minor salivary glandular cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 34: Non-specific - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 34: Neurons - Neuronal signaling"	5				"unprognostic (2.00e-3)"		"unprognostic (1.94e-2)"	"unprognostic (7.49e-2)"			"unprognostic (5.80e-2)"	"unprognostic (9.92e-3)"		"unprognostic (1.50e-1)"	"unprognostic (2.70e-7)"	"unprognostic (1.73e-4)"	"unprognostic (3.80e-1)"					"unprognostic (1.15e-1)"	"unprognostic (3.00e-1)"	"unprognostic (4.45e-2)"	"unprognostic (1.24e-1)"	"unprognostic (6.29e-3)"		"unprognostic (1.13e-1)"			"unprognostic (1.53e-1)"			"unprognostic (3.12e-3)"	"unprognostic (2.92e-2)"
DLGAP3	"DAP3, SAPAP3"	ENSG00000116544	"DLG associated protein 3"	O95886	1	34865436-34929650	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"brain: 44.5"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 22.6;Excitatory neurons: 37.8;Hofbauer cells: 11.0;Inhibitory neurons: 26.7;Late spermatids: 18.8"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in some"		"Testicular Germ Cell Tumor (TCGA): 7.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 5.3"	"Adipose visceral - Macrophages, Colon - Colon enteroendocrine cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA026445, HPA027304"	Enhanced		Approved	"Endoplasmic reticulum,Plasma membrane,Midbody"			Yes	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 61: Brain - Neuronal signaling"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"	8	"Endoplasmic reticulum"	"Plasma membrane, Midbody"	"HPA026445: AB_1847733, HPA027304: "			"unprognostic (5.59e-2)"				"unprognostic (1.25e-1)"													"unprognostic (2.66e-1)"									"unprognostic (2.28e-1)"		"unprognostic (1.42e-2)"
