From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Length	Tissue specificity	Bgee
CDC73	A0AAQ5BGL4	unreviewed	A0AAQ5BGL4_HUMAN	Cell division cycle 73	CDC73	97		
CDC73	A0AAT9H862	unreviewed	A0AAT9H862_HUMAN	Parafibromin	CDC73	35		
CDK12	Q9NYV4	reviewed	CDK12_HUMAN	Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)	CDK12 CRK7 CRKRS KIAA0904	1490	TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:11683387}.	ENSG00000167258;
CDK12	A0A2I6PNI6	unreviewed	A0A2I6PNI6_HUMAN	Cyclin-dependent kinase 12	CDK12	103		
CDK12	A0A590UJE9	unreviewed	A0A590UJE9_HUMAN	Cyclin dependent kinase 12	CDK12	186		ENSG00000167258;
CDK12	H0YLT2	unreviewed	H0YLT2_HUMAN	Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 12)	CDK12	1262		ENSG00000167258;
CDK12	J3QSD7	unreviewed	J3QSD7_HUMAN	Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 12)	CDK12	1201		ENSG00000167258;
CDK7	P50613	reviewed	CDK7_HUMAN	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)	CDK7 CAK CAK1 CDKN7 MO15 STK1	346	TISSUE SPECIFICITY: Ubiquitous.	ENSG00000134058;
CDK7	A0A0S2Z3F9	unreviewed	A0A0S2Z3F9_HUMAN	Cyclin-dependent kinase 7 (EC 2.7.11.23) (Cell division protein kinase 7)	CDK7 hCG_1988840	346		
CDK7	D6R9G1	unreviewed	D6R9G1_HUMAN	Cyclin-dependent kinase 7 (EC 2.7.11.23) (Cell division protein kinase 7)	CDK7	253		ENSG00000134058;
CDK7	D6R9Z2	unreviewed	D6R9Z2_HUMAN	Cyclin dependent kinase 7	CDK7	58		ENSG00000134058;
CDK7	D6RAD4	unreviewed	D6RAD4_HUMAN	Cyclin-dependent kinase 7 (EC 2.7.11.23) (Cell division protein kinase 7)	CDK7	309		ENSG00000134058;
CDK7	D6REC6	unreviewed	D6REC6_HUMAN	[RNA-polymerase]-subunit kinase (EC 2.7.11.23)	CDK7	149		ENSG00000134058;
CDK7	D6RF14	unreviewed	D6RF14_HUMAN	Cyclin dependent kinase 7	CDK7	69		ENSG00000134058;
CDK7	D6RFL0	unreviewed	D6RFL0_HUMAN	Cyclin dependent kinase 7 (Cyclin-dependent kinase 7 isoform 3)	CDK7	43		ENSG00000134058;
CDK7	D6RGG9	unreviewed	D6RGG9_HUMAN	Cyclin dependent kinase 7	CDK7	55		ENSG00000134058;
CDK7	D6RI01	unreviewed	D6RI01_HUMAN	Cyclin dependent kinase 7	CDK7	58		ENSG00000134058;
CDK7	D6RIG9	unreviewed	D6RIG9_HUMAN	[RNA-polymerase]-subunit kinase (EC 2.7.11.23)	CDK7	77		ENSG00000134058;
CENPE	Q02224	reviewed	CENPE_HUMAN	Centromere-associated protein E (Centromere protein E) (CENP-E) (Kinesin-7) (Kinesin-related protein CENPE)	CENPE	2701		ENSG00000138778;
CENPE	A0A5F9ZH24	unreviewed	A0A5F9ZH24_HUMAN	Centromere protein E	CENPE	106		ENSG00000138778;
CENPE	D6RHK2	unreviewed	D6RHK2_HUMAN	Centromere protein E	CENPE	183		ENSG00000138778;
CTR9	Q6PD62	reviewed	CTR9_HUMAN	RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1)	CTR9 KIAA0155 SH2BP1	1173	TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:8590280}.	ENSG00000198730;
CTR9	A0A2R8Y3S3	unreviewed	A0A2R8Y3S3_HUMAN	CTR9 homolog, Paf1/RNA polymerase II complex component	CTR9	52		ENSG00000198730;
CTR9	H0YCE8	unreviewed	H0YCE8_HUMAN	CTR9 homolog, Paf1/RNA polymerase II complex component	CTR9	300		ENSG00000198730;
CTR9	L8E8J1	unreviewed	L8E8J1_HUMAN	Alternative protein CTR9	CTR9	123		
DDX10	Q13206	reviewed	DDX10_HUMAN	Probable ATP-dependent RNA helicase DDX10 (EC 3.6.4.13) (DEAD box protein 10)	DDX10	875	TISSUE SPECIFICITY: High in testis but widely expressed.	ENSG00000178105;
DDX10	A0A3B3ISR7	unreviewed	A0A3B3ISR7_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX10	679		ENSG00000178105;
DDX10	A0A8I5KPM1	unreviewed	A0A8I5KPM1_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX10	482		
DDX10	A0A8I5KQZ1	unreviewed	A0A8I5KQZ1_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX10	676		
DDX10	A0A8I5KSH6	unreviewed	A0A8I5KSH6_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX10	925		
DDX10	A0A8I5KUU7	unreviewed	A0A8I5KUU7_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX10	489		
DDX10	A0A8I5KXY1	unreviewed	A0A8I5KXY1_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX10	451		
DDX10	E9PIF2	unreviewed	E9PIF2_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX10	835		ENSG00000178105;
DDX10	Q86VR6	unreviewed	Q86VR6_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX10	745		
DDX18	Q9NVP1	reviewed	DDX18_HUMAN	ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18) (Myc-regulated DEAD box protein) (MrDb)	DDX18 cPERP-D	670		ENSG00000088205;
DDX18	H7C452	unreviewed	H7C452_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX18	214		ENSG00000088205;
DDX18	Q4ZG72	unreviewed	Q4ZG72_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX18	546		
DDX18	Q53TI6	unreviewed	Q53TI6_HUMAN	Uncharacterized protein DDX18	DDX18	123		
DDX24	Q9GZR7	reviewed	DDX24_HUMAN	ATP-dependent RNA helicase DDX24 (EC 3.6.4.13) (DEAD box protein 24)	DDX24	859	TISSUE SPECIFICITY: Ubiquitous. Most abundant in heart and brain, but with lowest levels in thymus and small intestine.	ENSG00000089737;
DDX24	A0A087WXU8	unreviewed	A0A087WXU8_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX24	485		ENSG00000089737;
DDX24	A0A1W2PRR2	unreviewed	A0A1W2PRR2_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX24	577		ENSG00000089737;
DDX24	F5GYL3	unreviewed	F5GYL3_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX24	609		ENSG00000089737;
DDX24	G3V529	unreviewed	G3V529_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX24	816		ENSG00000089737;
DDX27	Q96GQ7	reviewed	DDX27_HUMAN	Probable ATP-dependent RNA helicase DDX27 (EC 3.6.4.13) (DEAD box protein 27)	DDX27 cPERP-F RHLP HSPC259 PP3241	796		
DDX27	A0A087WYH5	unreviewed	A0A087WYH5_HUMAN	DEAD-box helicase 27	DDX27	169		ENSG00000124228;
DDX27	A0A087X059	unreviewed	A0A087X059_HUMAN	RNA helicase (EC 3.6.4.13)	DDX27	275		ENSG00000124228;
DDX27	B3GQE6	unreviewed	B3GQE6_HUMAN	RNA helicase (EC 3.6.4.13)	DDX27	765		
DDX27	B7Z6D5	unreviewed	B7Z6D5_HUMAN	RNA helicase (EC 3.6.4.13)	DDX27	765		ENSG00000124228;
DDX27	Q3MI07	unreviewed	Q3MI07_HUMAN	DDX27 protein	DDX27	136		
DDX47	Q9H0S4	reviewed	DDX47_HUMAN	Probable ATP-dependent RNA helicase DDX47 (EC 3.6.4.13) (DEAD box protein 47)	DDX47	455	TISSUE SPECIFICITY: Expressed in skin, lung and breast. Also expressed in the brain. {ECO:0000269|PubMed:31256877}.	ENSG00000213782;
DDX47	F5H1N9	unreviewed	F5H1N9_HUMAN	RNA helicase (EC 3.6.4.13)	DDX47	196		ENSG00000213782;
DDX49	Q9Y6V7	reviewed	DDX49_HUMAN	Probable ATP-dependent RNA helicase DDX49 (EC 3.6.4.13) (DEAD box protein 49)	DDX49	483		ENSG00000105671;
DDX49	M0QXD4	unreviewed	M0QXD4_HUMAN	RNA helicase (EC 3.6.4.13)	DDX49	41		ENSG00000105671;
DDX49	M0QZC0	unreviewed	M0QZC0_HUMAN	RNA helicase (EC 3.6.4.13)	DDX49	118		ENSG00000105671;
DDX49	M0R0K1	unreviewed	M0R0K1_HUMAN	RNA helicase (EC 3.6.4.13)	DDX49 hCG_38576	166		ENSG00000105671;
DDX49	M0R1S3	unreviewed	M0R1S3_HUMAN	RNA helicase (EC 3.6.4.13)	DDX49	112		ENSG00000105671;
DDX51	Q8N8A6	reviewed	DDX51_HUMAN	ATP-dependent RNA helicase DDX51 (EC 3.6.4.13) (DEAD box protein 51)	DDX51	666		ENSG00000185163;
DDX51	F1T0L5	unreviewed	F1T0L5_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX51	666		
DDX55	Q8NHQ9	reviewed	DDX55_HUMAN	ATP-dependent RNA helicase DDX55 (EC 3.6.4.13) (DEAD box protein 55)	DDX55 KIAA1595	600		ENSG00000111364;
DDX55	E7EX41	unreviewed	E7EX41_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX55	191		ENSG00000111364;
DDX55	F5H2I2	unreviewed	F5H2I2_HUMAN	DEAD-box helicase 55	DDX55	42		ENSG00000111364;
DDX55	F5H5U2	unreviewed	F5H5U2_HUMAN	ATP-dependent RNA helicase (EC 3.6.4.13)	DDX55	569		ENSG00000111364;
DDX55	F5H735	unreviewed	F5H735_HUMAN	DEAD-box helicase 55	DDX55	50		ENSG00000111364;
DDX56	Q9NY93	reviewed	DDX56_HUMAN	Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)	DDX56 DDX21 NOH61	547	TISSUE SPECIFICITY: Detected in heart, brain, liver, pancreas, placenta and lung.	ENSG00000136271;
DDX56	F8WDT8	unreviewed	F8WDT8_HUMAN	RNA helicase (EC 3.6.4.13)	DDX56	185		ENSG00000136271;
DDX56	F8WEI3	unreviewed	F8WEI3_HUMAN	RNA helicase (EC 3.6.4.13)	DDX56	103		ENSG00000136271;
DDX56	G3V0G3	unreviewed	G3V0G3_HUMAN	RNA helicase (EC 3.6.4.13)	DDX56 hCG_18300	375		ENSG00000136271;
DDX56	H7BZN7	unreviewed	H7BZN7_HUMAN	DEAD-box helicase 56	DDX56	182		ENSG00000136271;
DDX56	H7C3E9	unreviewed	H7C3E9_HUMAN	DEAD-box helicase 56	DDX56	396		ENSG00000136271;
DHX37	Q8IY37	reviewed	DHX37_HUMAN	Probable ATP-dependent RNA helicase DHX37 (EC 3.6.4.13) (DEAH box protein 37)	DHX37 DDX37 KIAA1517	1157	TISSUE SPECIFICITY: Expressed in the fallopian tube, ovary, uterus and testis. Also expressed in the brain. {ECO:0000269|PubMed:31256877, ECO:0000269|PubMed:31337883}.	ENSG00000150990;
DHX37	F5H3Y4	unreviewed	F5H3Y4_HUMAN	RNA helicase (EC 3.6.4.13)	DHX37	999		ENSG00000150990;
DHX37	Q6IPP7	unreviewed	Q6IPP7_HUMAN	DHX37 protein	DHX37	53		
EMG1	Q92979	reviewed	NEP1_HUMAN	Ribosomal RNA small subunit methyltransferase NEP1 (EC 2.1.1.-) (18S rRNA (pseudouridine(1248)-N1)-methyltransferase) (18S rRNA Psi1248 methyltransferase) (Nucleolar protein EMG1 homolog) (Protein C2f) (Ribosome biogenesis protein NEP1)	EMG1 C2F	244		ENSG00000126749;
EMG1	A0A087WVM7	unreviewed	A0A087WVM7_HUMAN	EMG1 N1-specific pseudouridine methyltransferase	EMG1	149		ENSG00000126749;
EMG1	A0A0U3B3H7	unreviewed	A0A0U3B3H7_HUMAN	EMG1 N1-specific pseudouridine methyl transferase	EMG1	81		
EMG1	B4DP65	unreviewed	B4DP65_HUMAN	EMG1 nucleolar protein homolog (S. cerevisiae), isoform CRA_a (cDNA FLJ56921, highly similar to Probable ribosome biogenesis protein NEP1)	EMG1 hCG_25956	141		
ERCC2	P18074	reviewed	ERCC2_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 5.6.2.3) (Basic transcription factor 2 80 kDa subunit) (BTF2 p80) (CXPD) (DNA 5'-3' helicase XPD) (DNA excision repair protein ERCC-2) (DNA repair protein complementing XP-D cells) (TFIIH basal transcription factor complex 80 kDa subunit) (TFIIH 80 kDa subunit) (TFIIH p80) (Xeroderma pigmentosum group D-complementing protein)	ERCC2 XPD XPDC	760		ENSG00000104884;
ERCC2	A0A1B1PFW1	unreviewed	A0A1B1PFW1_HUMAN	TFIIH basal transcription factor complex helicase XPD subunit	ERCC2	23		
ERCC2	A0A804HK53	unreviewed	A0A804HK53_HUMAN	DNA 5'-3' helicase (EC 5.6.2.3)	ERCC2	719		ENSG00000104884;
ERCC2	A0A804HK75	unreviewed	A0A804HK75_HUMAN	ERCC excision repair 2, TFIIH core complex helicase subunit	ERCC2	205		ENSG00000104884;
ERCC2	A0A804HL97	unreviewed	A0A804HL97_HUMAN	DNA 5'-3' helicase (EC 5.6.2.3)	ERCC2	459		ENSG00000104884;
ERCC2	A8MX75	unreviewed	A8MX75_HUMAN	DNA 5'-3' helicase (EC 5.6.2.3)	ERCC2	706		ENSG00000104884;
ERCC2	B4E0F6	unreviewed	B4E0F6_HUMAN	ERCC excision repair 2, TFIIH core complex helicase subunit (cDNA FLJ57462, highly similar to TFIIH basal transcription factor complex helicase subunit)	ERCC2	127		ENSG00000104884;
ERCC2	E7EVE9	unreviewed	E7EVE9_HUMAN	DNA 5'-3' helicase (EC 5.6.2.3)	ERCC2	829		ENSG00000104884;
ERCC2	K7EIT8	unreviewed	K7EIT8_HUMAN	DNA 5'-3' helicase (EC 5.6.2.3)	ERCC2	292		ENSG00000104884;
ERCC2	K7EKF3	unreviewed	K7EKF3_HUMAN	DNA 5'-3' helicase (EC 5.6.2.3)	ERCC2	202		ENSG00000104884;
ERCC2	K7ENL1	unreviewed	K7ENL1_HUMAN	ERCC excision repair 2, TFIIH core complex helicase subunit	ERCC2	109		ENSG00000104884;
ERCC2	Q2TB79	unreviewed	Q2TB79_HUMAN	DNA 5'-3' helicase (EC 5.6.2.3)	ERCC2	682		
ERCC3	P19447	reviewed	ERCC3_HUMAN	General transcription and DNA repair factor IIH helicase/translocase subunit XPB (TFIIH subunit XPB) (EC 5.6.2.4) (Basic transcription factor 2 89 kDa subunit) (BTF2 p89) (DNA 3'-5' helicase/translocase XPB) (DNA excision repair protein ERCC-3) (DNA repair protein complementing XP-B cells) (TFIIH basal transcription factor complex 89 kDa subunit) (TFIIH 89 kDa subunit) (TFIIH p89) (Xeroderma pigmentosum group B-complementing protein)	ERCC3 XPB XPBC	782		ENSG00000163161;
ERCC3	A0A2R8Y4R8	unreviewed	A0A2R8Y4R8_HUMAN	ERCC excision repair 3, TFIIH core complex helicase subunit	ERCC3	122		ENSG00000163161;
ERCC3	A0A2R8Y5H0	unreviewed	A0A2R8Y5H0_HUMAN	ERCC excision repair 3, TFIIH core complex helicase subunit	ERCC3	160		ENSG00000163161;
ERCC3	A0A2R8Y5L2	unreviewed	A0A2R8Y5L2_HUMAN	ERCC excision repair 3, TFIIH core complex helicase subunit	ERCC3	448		ENSG00000163161;
ERCC3	A0A2R8Y681	unreviewed	A0A2R8Y681_HUMAN	DNA 3'-5' helicase (EC 5.6.2.4)	ERCC3	162		ENSG00000163161;
ERCC3	A0A2R8Y6W8	unreviewed	A0A2R8Y6W8_HUMAN	General transcription and DNA repair factor IIH helicase/translocase subunit XPB (EC 5.6.2.4) (DNA 3'-5' helicase/translocase XPB) (DNA excision repair protein ERCC-3)	ERCC3	807		ENSG00000163161;
ERCC3	A0A2R8Y762	unreviewed	A0A2R8Y762_HUMAN	ERCC excision repair 3, TFIIH core complex helicase subunit	ERCC3	216		ENSG00000163161;
ERCC3	A0A2R8YES7	unreviewed	A0A2R8YES7_HUMAN	ERCC excision repair 3, TFIIH core complex helicase subunit	ERCC3	406		ENSG00000163161;
ERCC3	A0A2R8YFS3	unreviewed	A0A2R8YFS3_HUMAN	ERCC excision repair 3, TFIIH core complex helicase subunit	ERCC3	161		ENSG00000163161;
ERCC3	F2Z2V4	unreviewed	F2Z2V4_HUMAN	ERCC excision repair 3, TFIIH core complex helicase subunit	ERCC3	71		ENSG00000163161;
ERCC3	H7C309	unreviewed	H7C309_HUMAN	ERCC excision repair 3, TFIIH core complex helicase subunit	ERCC3	188		ENSG00000163161;
FTSJ3	Q8IY81	reviewed	SPB1_HUMAN	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 (EC 2.1.1.-) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	FTSJ3 SB92	847		ENSG00000108592;
FTSJ3	J3KRY4	unreviewed	J3KRY4_HUMAN	FtsJ RNA 2'-O-methyltransferase 3	FTSJ3	29		ENSG00000108592;
FTSJ3	J3KS36	unreviewed	J3KS36_HUMAN	FtsJ RNA 2'-O-methyltransferase 3	FTSJ3	151		ENSG00000108592;
FTSJ3	J3KS74	unreviewed	J3KS74_HUMAN	FtsJ RNA 2'-O-methyltransferase 3	FTSJ3	67		ENSG00000108592;
FTSJ3	J3QKT6	unreviewed	J3QKT6_HUMAN	FtsJ RNA 2'-O-methyltransferase 3	FTSJ3	19		ENSG00000108592;
FTSJ3	J3QR05	unreviewed	J3QR05_HUMAN	FtsJ RNA 2'-O-methyltransferase 3	FTSJ3	40		ENSG00000108592;
FTSJ3	J3QRS5	unreviewed	J3QRS5_HUMAN	FtsJ RNA 2'-O-methyltransferase 3	FTSJ3	33		ENSG00000108592;
FTSJ3	J3QSE2	unreviewed	J3QSE2_HUMAN	FtsJ RNA 2'-O-methyltransferase 3	FTSJ3	115		ENSG00000108592;
GTF2A1	P52655	reviewed	TF2AA_HUMAN	Transcription initiation factor IIA subunit 1 (General transcription factor IIA subunit 1) (TFIIAL) (Transcription initiation factor TFIIA 42 kDa subunit) (TFIIA-42) [Cleaved into: Transcription initiation factor IIA alpha chain (TFIIA p35 subunit); Transcription initiation factor IIA beta chain (TFIIA p19 subunit)]	GTF2A1 TF2A1	376		ENSG00000165417;
GTF2A1	J3KNC0	unreviewed	J3KNC0_HUMAN	General transcription factor IIA subunit 1	GTF2A1	59		ENSG00000165417;
GTF2A2	P52657	reviewed	T2AG_HUMAN	Transcription initiation factor IIA subunit 2 (General transcription factor IIA subunit 2) (TFIIA p12 subunit) (TFIIA-12) (TFIIAS) (Transcription initiation factor IIA gamma chain) (TFIIA-gamma)	GTF2A2 TF2A2	109		ENSG00000140307;
GTF2A2	A0A0B4J1Z5	unreviewed	A0A0B4J1Z5_HUMAN	Transcription initiation factor IIA gamma chain	GTF2A2	74		ENSG00000140307;
GTF2A2	A8MYR4	unreviewed	A8MYR4_HUMAN	Transcription initiation factor IIA gamma chain	GTF2A2	68		ENSG00000140307;
GTF2A2	H0YK39	unreviewed	H0YK39_HUMAN	Transcription initiation factor IIA gamma chain	GTF2A2	72		ENSG00000140307;
GTF2B	Q00403	reviewed	TF2B_HUMAN	Transcription initiation factor IIB (EC 2.3.1.48) (General transcription factor TFIIB) (S300-II)	GTF2B TF2B TFIIB	316	TISSUE SPECIFICITY: Expressed in the inner cell mass forming the embryoblast (PubMed:24441171). Not detected in cells from the outer thin layer trophoblast (at protein level) (PubMed:24441171). {ECO:0000269|PubMed:24441171}.	ENSG00000137947;
GTF2B	B1APE1	unreviewed	B1APE1_HUMAN	Transcription initiation factor IIB (EC 2.3.1.48) (General transcription factor TFIIB)	GTF2B	224		ENSG00000137947;
GTF2B	B1APE2	unreviewed	B1APE2_HUMAN	Transcription initiation factor IIB (EC 2.3.1.48) (General transcription factor TFIIB)	GTF2B	231		ENSG00000137947;
GTF2E2	P29084	reviewed	T2EB_HUMAN	Transcription initiation factor IIE subunit beta (TFIIE-beta) (General transcription factor IIE subunit 2)	GTF2E2 TF2E2	291		ENSG00000197265;
GTF2E2	E5RH41	unreviewed	E5RH41_HUMAN	General transcription factor IIE subunit 2	GTF2E2	198		ENSG00000197265;
GTF2E2	E5RIW4	unreviewed	E5RIW4_HUMAN	General transcription factor IIE subunit 2	GTF2E2	126		ENSG00000197265;
GTF2E2	E5RK24	unreviewed	E5RK24_HUMAN	General transcription factor IIE subunit 2	GTF2E2	73		ENSG00000197265;
GTF2F2	P13984	reviewed	T2FB_HUMAN	General transcription factor IIF subunit 2 (General transcription factor IIF 30 kDa subunit) (Transcription initiation factor IIF subunit beta) (TFIIF-beta) (Transcription initiation factor RAP30)	GTF2F2 RAP30	249		ENSG00000188342;
GTF2F2	A0A9L9PX76	unreviewed	A0A9L9PX76_HUMAN	General transcription factor IIF subunit 2 (Transcription initiation factor IIF subunit beta)	GTF2F2	77		
GTF2H1	P32780	reviewed	TF2H1_HUMAN	General transcription factor IIH subunit 1 (Basic transcription factor 2 62 kDa subunit) (BTF2 p62) (General transcription factor IIH polypeptide 1) (TFIIH basal transcription factor complex p62 subunit)	GTF2H1 BTF2	548		ENSG00000110768;
GTF2H1	E9PI26	unreviewed	E9PI26_HUMAN	General transcription factor IIH subunit 1	GTF2H1	181		ENSG00000110768;
GTF2H1	E9PL58	unreviewed	E9PL58_HUMAN	General transcription factor IIH subunit 1	GTF2H1	95		ENSG00000110768;
GTF2H1	E9PM51	unreviewed	E9PM51_HUMAN	General transcription factor IIH subunit 1	GTF2H1	236		ENSG00000110768;
GTF2H1	F5H0Y9	unreviewed	F5H0Y9_HUMAN	General transcription factor IIH subunit 1	GTF2H1	138		ENSG00000110768;
GTF2H4	Q92759	reviewed	TF2H4_HUMAN	General transcription factor IIH subunit 4 (Basic transcription factor 2 52 kDa subunit) (BTF2 p52) (General transcription factor IIH polypeptide 4) (TFIIH basal transcription factor complex p52 subunit)	GTF2H4	462		ENSG00000213780;
GTF2H4	A0A0G2JHJ2	unreviewed	A0A0G2JHJ2_HUMAN	General transcription factor IIH subunit 4	GTF2H4	138		
HINFP	Q9BQA5	reviewed	HINFP_HUMAN	Histone H4 transcription factor (Histone nuclear factor P) (HiNF-P) (MBD2-interacting zinc finger protein) (Methyl-CpG-binding protein 2-interacting zinc finger protein)	HINFP MIZF ZNF743	517	TISSUE SPECIFICITY: Ubiquitous. Highly expressed in brain, heart, skeletal muscle, spleen, kidney, small intestine, placenta and liver. {ECO:0000269|PubMed:11553631}.	ENSG00000172273;
HINFP	E9PJA3	unreviewed	E9PJA3_HUMAN	Histone H4 transcription factor	HINFP	54		ENSG00000172273;
HINFP	E9PL67	unreviewed	E9PL67_HUMAN	Histone H4 transcription factor	HINFP	100		ENSG00000172273;
MED1	O95243	reviewed	MBD4_HUMAN	Methyl-CpG-binding domain protein 4 (EC 3.2.2.-) (Methyl-CpG-binding endonuclease 1) (Methyl-CpG-binding protein MBD4) (Mismatch-specific DNA N-glycosylase)	MBD4 MED1	580		ENSG00000129071;
MED1	Q15648	reviewed	MED1_HUMAN	Mediator of RNA polymerase II transcription subunit 1 (Activator-recruited cofactor 205 kDa component) (ARC205) (Mediator complex subunit 1) (Peroxisome proliferator-activated receptor-binding protein) (PBP) (PPAR-binding protein) (Thyroid hormone receptor-associated protein complex 220 kDa component) (Trap220) (Thyroid receptor-interacting protein 2) (TR-interacting protein 2) (TRIP-2) (Vitamin D receptor-interacting protein complex component DRIP205) (p53 regulatory protein RB18A)	MED1 ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2	1581	TISSUE SPECIFICITY: Ubiquitously expressed. {ECO:0000269|PubMed:9444950, ECO:0000269|PubMed:9653119}.	ENSG00000125686;
MED1	J3KSD7	unreviewed	J3KSD7_HUMAN	Mediator complex subunit 1	MED1	79		ENSG00000125686;
MED1	J3QKZ7	unreviewed	J3QKZ7_HUMAN	Mediator complex subunit 1	MED1	97		ENSG00000125686;
MED11	Q9P086	reviewed	MED11_HUMAN	Mediator of RNA polymerase II transcription subunit 11 (Mediator complex subunit 11)	MED11 HSPC296	117		ENSG00000161920;
MED11	A0A6I8PLG6	unreviewed	A0A6I8PLG6_HUMAN	Mediator complex subunit 11	MED11	35		ENSG00000161920;
