From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Motif	Protein families	Compositional bias	Sequence similarities	Bgee	ExpressionAtlas
ENSG00000008196	X6R4Y8	unreviewed	X6R4Y8_HUMAN	Transcription factor AP-2 beta	TFAP2B	Homo sapiens (Human)	198				COMPBIAS 34..58; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 59..77; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 78..115; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000008196; Expressed in corpus epididymis and 90 other cell types or tissues.";	"X6R4Y8; baseline and differential.";
ENSG00000087510	Q92754	reviewed	AP2C_HUMAN	Transcription factor AP-2 gamma (AP2-gamma) (Activating enhancer-binding protein 2 gamma) (Transcription factor ERF-1)	TFAP2C	Homo sapiens (Human)	450		MOTIF 59..64; /note="PPxY motif"	AP-2 family	COMPBIAS 92..107; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the AP-2 family. {ECO:0000305}.	"ENSG00000087510; Expressed in endometrium epithelium and 132 other cell types or tissues.";	"Q92754; baseline and differential.";
ENSG00000087510	A2A2R7	unreviewed	A2A2R7_HUMAN	Transcription factor AP-2 gamma	TFAP2C	Homo sapiens (Human)	118				COMPBIAS 1..19; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 80..95; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000087510; Expressed in endometrium epithelium and 132 other cell types or tissues.";	"A2A2R7; baseline and differential.";
ENSG00000008197	Q7Z6R9	reviewed	AP2D_HUMAN	Transcription factor AP-2-delta (AP2-delta) (Activating enhancer-binding protein 2-delta) (Transcription factor AP-2-beta-like 1)	TFAP2D TFAP2BL1	Homo sapiens (Human)	452	TISSUE SPECIFICITY: Highly expressed in brain, placenta, skeletal muscle, thymus, small intestine, and prostate, and expressed at lower levels in leukocyte, spleen, testis, ovary and colon. Barely detectable in heart, kidney, liver, lung or pancreas. {ECO:0000269|PubMed:11733187}.		AP-2 family	COMPBIAS 433..452; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the AP-2 family. {ECO:0000255}.	"ENSG00000008197; Expressed in oocyte and 23 other cell types or tissues.";	
ENSG00000116819	Q6VUC0	reviewed	AP2E_HUMAN	Transcription factor AP-2-epsilon (AP2-epsilon) (Activating enhancer-binding protein 2-epsilon)	TFAP2E	Homo sapiens (Human)	442	TISSUE SPECIFICITY: Expressed in skin, primary keratinocytes, immortalized keratinocytes, and HeLa cell line. {ECO:0000269|PubMed:14636996}.	MOTIF 54..59; /note="PPxY motif"; /evidence="ECO:0000255"	AP-2 family		SIMILARITY: Belongs to the AP-2 family. {ECO:0000255}.	"ENSG00000116819; Expressed in cerebellar hemisphere and 105 other cell types or tissues.";	
ENSG00000116017	Q99856	reviewed	ARI3A_HUMAN	AT-rich interactive domain-containing protein 3A (ARID domain-containing protein 3A) (B-cell regulator of IgH transcription) (Bright) (Dead ringer-like protein 1) (E2F-binding protein 1)	ARID3A DRIL1 DRIL3 DRX E2FBP1	Homo sapiens (Human)	593	TISSUE SPECIFICITY: Widely expressed, with highest expression in skeletal muscle, thalamus, and colon.			COMPBIAS 106..125; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 126..159; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 551..593; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000116017; Expressed in monocyte and 114 other cell types or tissues.";	"Q99856; baseline and differential.";
ENSG00000116017	H0YFY1	unreviewed	H0YFY1_HUMAN	AT-rich interactive domain-containing protein 3 (ARID domain-containing protein)	ARID3A	Homo sapiens (Human)	96						"ENSG00000116017; Expressed in monocyte and 114 other cell types or tissues.";	"H0YFY1; baseline and differential.";
ENSG00000116017	K7EJ04	unreviewed	K7EJ04_HUMAN	AT-rich interactive domain-containing protein 3 (ARID domain-containing protein)	ARID3A	Homo sapiens (Human)	338				COMPBIAS 251..266; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 299..338; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000116017; Expressed in monocyte and 114 other cell types or tissues.";	"K7EJ04; baseline and differential.";
ENSG00000179361	Q8IVW6	reviewed	ARI3B_HUMAN	AT-rich interactive domain-containing protein 3B (ARID domain-containing protein 3B) (Bright and dead ringer protein) (Bright-like protein)	ARID3B BDP DRIL2	Homo sapiens (Human)	561	TISSUE SPECIFICITY: Expressed in placenta, testis and leukocytes. Expressed in neuroblastoma. Present in K-562 erythrocytic leukemia cell line (at protein level). {ECO:0000269|PubMed:10446990, ECO:0000269|PubMed:16951138}.			COMPBIAS 1..20; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 92..109; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 163..179; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000179361; Expressed in oocyte and 163 other cell types or tissues.";	"Q8IVW6; baseline and differential.";
ENSG00000179361	H3BQ92	unreviewed	H3BQ92_HUMAN	AT-rich interactive domain-containing protein 3 (ARID domain-containing protein)	ARID3B	Homo sapiens (Human)	138						"ENSG00000179361; Expressed in oocyte and 163 other cell types or tissues.";	"H3BQ92; baseline and differential.";
ENSG00000205143	A6NKF2	reviewed	ARI3C_HUMAN	AT-rich interactive domain-containing protein 3C (ARID domain-containing protein 3C)	ARID3C	Homo sapiens (Human)	412				COMPBIAS 21..35; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 48..68; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 245..261; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 262..277; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 393..412; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000205143; Expressed in primordial germ cell in gonad and 45 other cell types or tissues.";	
ENSG00000205143	A0A8I5QL24	unreviewed	A0A8I5QL24_HUMAN	AT-rich interactive domain-containing protein 3 (ARID domain-containing protein)	ARID3C	Homo sapiens (Human)	334				COMPBIAS 21..35; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 48..68; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 245..261; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 262..277; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"			
ENSG00000196843	Q03989	reviewed	ARI5A_HUMAN	AT-rich interactive domain-containing protein 5A (ARID domain-containing protein 5A) (Modulator recognition factor 1) (MRF-1)	ARID5A MRF1	Homo sapiens (Human)	594				COMPBIAS 146..193; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 300..314; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000196843; Expressed in mucosa of stomach and 182 other cell types or tissues.";	"Q03989; baseline and differential.";
ENSG00000196843	A0A669KBH0	unreviewed	A0A669KBH0_HUMAN	AT-rich interaction domain 5A	ARID5A	Homo sapiens (Human)	327				COMPBIAS 146..193; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000196843; Expressed in mucosa of stomach and 182 other cell types or tissues.";	"A0A669KBH0; baseline and differential.";
ENSG00000196843	F6Q9D3	unreviewed	F6Q9D3_HUMAN	AT-rich interaction domain 5A	ARID5A	Homo sapiens (Human)	58				COMPBIAS 28..58; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000196843; Expressed in mucosa of stomach and 182 other cell types or tissues.";	"F6Q9D3; baseline and differential.";
ENSG00000150347	Q14865	reviewed	ARI5B_HUMAN	AT-rich interactive domain-containing protein 5B (ARID domain-containing protein 5B) (MRF1-like protein) (Modulator recognition factor 2) (MRF-2)	ARID5B DESRT MRF2	Homo sapiens (Human)	1188	TISSUE SPECIFICITY: Widely expressed, including in liver (at protein level). {ECO:0000269|PubMed:21532585}.		ARID5B family	COMPBIAS 412..479; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 509..534; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 559..609; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1038..1055; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the ARID5B family. {ECO:0000305}.	"ENSG00000150347; Expressed in type B pancreatic cell and 217 other cell types or tissues.";	"Q14865; baseline and differential.";
ENSG00000150347	A0A2R8Y5F2	unreviewed	A0A2R8Y5F2_HUMAN	AT-rich interaction domain 5B	ARID5B	Homo sapiens (Human)	254						"ENSG00000150347; Expressed in type B pancreatic cell and 217 other cell types or tissues.";	"A0A2R8Y5F2; baseline and differential.";
ENSG00000150347	A0A7P0TAD2	unreviewed	A0A7P0TAD2_HUMAN	AT-rich interaction domain 5B	ARID5B	Homo sapiens (Human)	1180				COMPBIAS 404..471; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 501..526; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 551..601; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1030..1047; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000150347; Expressed in type B pancreatic cell and 217 other cell types or tissues.";	
ENSG00000117139	Q9UGL1	reviewed	KDM5B_HUMAN	Lysine-specific demethylase 5B (EC 1.14.11.67) (Cancer/testis antigen 31) (CT31) (Histone demethylase JARID1B) (Jumonji/ARID domain-containing protein 1B) (PLU-1) (Retinoblastoma-binding protein 2 homolog 1) (RBP2-H1) ([histone H3]-trimethyl-L-lysine(4) demethylase 5B)	KDM5B JARID1B PLU1 RBBP2H1	Homo sapiens (Human)	1544	TISSUE SPECIFICITY: Ubiquitously expressed, with highest levels in testis. Down-regulated in melanoma and glioblastoma. Up-regulated in breast cancer (at protein level). {ECO:0000269|PubMed:10336460, ECO:0000269|PubMed:10616211, ECO:0000269|PubMed:10878660, ECO:0000269|PubMed:12237901, ECO:0000269|PubMed:15803180}.		JARID1 histone demethylase family	COMPBIAS 1374..1390; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the JARID1 histone demethylase family. {ECO:0000305}.	"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"Q9UGL1; baseline and differential.";
ENSG00000117139	A0A3B3IS31	unreviewed	A0A3B3IS31_HUMAN	Lysine demethylase 5B	KDM5B	Homo sapiens (Human)	215						"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3IS31; baseline and differential.";
ENSG00000117139	A0A3B3IS40	unreviewed	A0A3B3IS40_HUMAN	[histone H3]-trimethyl-L-lysine(4) demethylase (EC 1.14.11.67)	KDM5B	Homo sapiens (Human)	1539			JARID1 histone demethylase family	COMPBIAS 1369..1385; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the JARID1 histone demethylase family. {ECO:0000256|ARBA:ARBA00006801}.	"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3IS40; baseline and differential.";
ENSG00000117139	A0A3B3ISE6	unreviewed	A0A3B3ISE6_HUMAN	[histone H3]-trimethyl-L-lysine(4) demethylase (EC 1.14.11.67)	KDM5B	Homo sapiens (Human)	1472			JARID1 histone demethylase family	COMPBIAS 1333..1349; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the JARID1 histone demethylase family. {ECO:0000256|ARBA:ARBA00006801}.	"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3ISE6; baseline and differential.";
ENSG00000117139	A0A3B3ISK2	unreviewed	A0A3B3ISK2_HUMAN	Lysine demethylase 5B	KDM5B	Homo sapiens (Human)	189						"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3ISK2; baseline and differential.";
ENSG00000117139	A0A3B3IT25	unreviewed	A0A3B3IT25_HUMAN	[histone H3]-trimethyl-L-lysine(4) demethylase (EC 1.14.11.67)	KDM5B	Homo sapiens (Human)	1517			JARID1 histone demethylase family	COMPBIAS 1374..1390; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the JARID1 histone demethylase family. {ECO:0000256|ARBA:ARBA00006801}.	"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3IT25; baseline and differential.";
ENSG00000117139	A0A3B3IT51	unreviewed	A0A3B3IT51_HUMAN	Lysine demethylase 5B	KDM5B	Homo sapiens (Human)	297						"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3IT51; baseline and differential.";
ENSG00000117139	A0A3B3IT85	unreviewed	A0A3B3IT85_HUMAN	Lysine demethylase 5B	KDM5B	Homo sapiens (Human)	316				COMPBIAS 132..147; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3IT85; baseline and differential.";
ENSG00000117139	A0A3B3ITA8	unreviewed	A0A3B3ITA8_HUMAN	[histone H3]-trimethyl-L-lysine(4) demethylase (EC 1.14.11.67)	KDM5B	Homo sapiens (Human)	1499			JARID1 histone demethylase family	COMPBIAS 1329..1345; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the JARID1 histone demethylase family. {ECO:0000256|ARBA:ARBA00006801}.	"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3ITA8; baseline and differential.";
ENSG00000117139	A0A3B3ITA9	unreviewed	A0A3B3ITA9_HUMAN	Lysine demethylase 5B	KDM5B	Homo sapiens (Human)	336						"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3ITA9; baseline and differential.";
ENSG00000117139	A0A3B3ITE7	unreviewed	A0A3B3ITE7_HUMAN	[histone H3]-trimethyl-L-lysine(4) demethylase (EC 1.14.11.67)	KDM5B	Homo sapiens (Human)	1505			JARID1 histone demethylase family	COMPBIAS 1374..1390; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the JARID1 histone demethylase family. {ECO:0000256|ARBA:ARBA00006801}.	"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3ITE7; baseline and differential.";
ENSG00000117139	A0A3B3ITJ3	unreviewed	A0A3B3ITJ3_HUMAN	Lysine demethylase 5B	KDM5B	Homo sapiens (Human)	145						"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3ITJ3; baseline and differential.";
ENSG00000117139	A0A3B3ITJ7	unreviewed	A0A3B3ITJ7_HUMAN	[histone H3]-trimethyl-L-lysine(4) demethylase (EC 1.14.11.67)	KDM5B	Homo sapiens (Human)	1503			JARID1 histone demethylase family	COMPBIAS 1333..1349; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	SIMILARITY: Belongs to the JARID1 histone demethylase family. {ECO:0000256|ARBA:ARBA00006801}.	"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3ITJ7; baseline and differential.";
ENSG00000117139	A0A3B3ITN3	unreviewed	A0A3B3ITN3_HUMAN	Lysine demethylase 5B	KDM5B	Homo sapiens (Human)	30						"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3ITN3; baseline and differential.";
ENSG00000117139	A0A3B3ITR1	unreviewed	A0A3B3ITR1_HUMAN	Lysine demethylase 5B	KDM5B	Homo sapiens (Human)	229						"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3ITR1; baseline and differential.";
ENSG00000117139	A0A3B3ITR3	unreviewed	A0A3B3ITR3_HUMAN	Lysine demethylase 5B	KDM5B	Homo sapiens (Human)	142						"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"A0A3B3ITR3; baseline and differential.";
ENSG00000117139	B3KV94	unreviewed	B3KV94_HUMAN	Jumonji, AT rich interactive domain 1B (RBP2-like), isoform CRA_a (Lysine demethylase 5B) (cDNA FLJ16281 fis, clone NT2RI3003104, highly similar to Homo sapiens Jumonji, AT rich interactive domain 1B (RBP2-like) (JARID1B), mRNA)	KDM5B JARID1B hCG_2027322	Homo sapiens (Human)	1275				COMPBIAS 1216..1232; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	
ENSG00000117139	R4GN45	unreviewed	R4GN45_HUMAN	Lysine demethylase 5B	KDM5B	Homo sapiens (Human)	77						"ENSG00000117139; Expressed in sperm and 186 other cell types or tissues.";	"R4GN45; baseline and differential.";
ENSG00000189079	Q68CP9	reviewed	ARID2_HUMAN	AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200)	ARID2 BAF200 KIAA1557	Homo sapiens (Human)	1835	TISSUE SPECIFICITY: Highly expressed in heart. {ECO:0000269|PubMed:16782067}.	MOTIF 313..317; /note="LXXLL"		COMPBIAS 1271..1286; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1296..1314; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1493..1512; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1572..1591; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1602..1625; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1706..1728; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000189079; Expressed in sperm and 189 other cell types or tissues.";	"Q68CP9; baseline and differential.";
ENSG00000189079	A0A087WY37	unreviewed	A0A087WY37_HUMAN	AT-rich interaction domain 2	ARID2	Homo sapiens (Human)	64				COMPBIAS 9..35; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000189079; Expressed in sperm and 189 other cell types or tissues.";	"A0A087WY37; baseline and differential.";
ENSG00000189079	A0A8V8TP93	unreviewed	A0A8V8TP93_HUMAN	AT-rich interaction domain 2	ARID2	Homo sapiens (Human)	246							
ENSG00000189079	F8VWP4	unreviewed	F8VWP4_HUMAN	AT-rich interaction domain 2	ARID2	Homo sapiens (Human)	530				COMPBIAS 8..23; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 33..81; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 111..126; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 309..328; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 339..362; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 443..466; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000189079; Expressed in sperm and 189 other cell types or tissues.";	"F8VWP4; baseline and differential.";
ENSG00000189079	F8W108	unreviewed	F8W108_HUMAN	AT-rich interaction domain 2	ARID2	Homo sapiens (Human)	1451				COMPBIAS 354..370; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 574..674; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 887..902; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 912..957; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 990..1005; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1188..1207; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1218..1241; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1322..1344; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000189079; Expressed in sperm and 189 other cell types or tissues.";	"F8W108; baseline and differential.";
ENSG00000189079	F8WCU9	unreviewed	F8WCU9_HUMAN	AT rich interactive domain 2 (ARID, RFX-like), isoform CRA_d (AT-rich interaction domain 2)	ARID2 hCG_1998145	Homo sapiens (Human)	1788				COMPBIAS 1271..1286; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1296..1314; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1493..1512; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1572..1591; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1602..1625; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1706..1729; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		"ENSG00000189079; Expressed in sperm and 189 other cell types or tissues.";	
